תאריך,מק'ט,תאור מוצר,כמות,יח',כמות מפעל,יח' מפעל,תעודה,סוג תעודה,למחסן,איתור,הזמנה,מס' ספק,שם ספק
1/1/2025,19000006,"דיסק חיתוך ""4.1/2 ברזל דק",50,יח',50,יח',GR25000006,קבלות סחורה מספק,Main,0,PO24000803,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/1/2025,20000225,"מברשת צבע ""4 (3000)",10,יח',10,יח',GR25000005,קבלות סחורה מספק,Main,0,PO24000800,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/1/2025,20000225,"מברשת צבע ""4 (3000)",10,יח',10,יח',GR25000008,קבלות סחורה מספק,Main,0,PO24000800,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/1/2025,20000225,"מברשת צבע ""4 (3000)",20,יח',20,יח',GR25000009,קבלות סחורה מספק,Main,0,PO24000802,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/1/2025,26000456,מגשר אופטי  S.M כפול באורך 1 מטר  SC/LC,30,יח',30,יח',GR25000007,קבלות סחורה מספק,Main,0,PO24000798,2030103,"ג.ברס שיווק (1983) בע""מ"
1/2/2025,17000021,4X2X0.5 'כבל טל,200,יח',200,יח',GR25000028,קבלות סחורה מספק,P003,0,,2030103,"ג.ברס שיווק (1983) בע""מ"
1/2/2025,17000164,כבל פנדל 3X1.5,250,יח',250,יח',GR25000013,קבלות סחורה מספק,Main,0,PO24000545,2030071,"ארכה בע""מ"
1/2/2025,19000008,תרסיס נגד חלודה   WD40,24,יח',24,יח',GR25000026,קבלות סחורה מספק,Main,0,PO24000817,2030503,"רז צ.צ טכני 2003 בע""מ"
1/2/2025,19001084,דבק סודסיל MS CLEAR עבור הדבקת תקתקנים,20,יח',20,יח',GR25000011,קבלות סחורה מספק,Main,0,PO24000740,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/2/2025,22002367,מפסק גבול לבולארד דקוטה       limit switch sensor for dkn 1,10,יח',10,יח',GR25000021,קבלות סחורה מספק,Main,0,PO24000697,2030873,"סיסא אוטומציה ביתית בע""מ"
1/2/2025,22002728,KIT STEM GUIDE SHOES K4 I300225 60001,24,יח',24,יח',GR25000021,קבלות סחורה מספק,Main,0,PO24000699,2030873,"סיסא אוטומציה ביתית בע""מ"
1/2/2025,22002730,KIT PRESSURE SWITH NC 32BAR GR I671533 60001,10,יח',10,יח',GR25000021,קבלות סחורה מספק,Main,0,PO24000696,2030873,"סיסא אוטומציה ביתית בע""מ"
1/2/2025,25000013,"ח""א  1X10A   6K (צ'יניט)",48,יח',48,יח',GR25000025,קבלות סחורה מספק,Main,0,PO24000700,2030420,"נ.חן חשמל בע""מ"
1/2/2025,25000153,מוט הארקה,10,יח',10,יח',GR25000023,קבלות סחורה מספק,Main,0,PO24000796,2030393,"חשמל ישיר חולון בע""מ"
1/2/2025,25000153,מוט הארקה,10,יח',10,יח',GR25000024,קבלות סחורה מספק,Main,0,PO24000810,2030393,"חשמל ישיר חולון בע""מ"
1/2/2025,25000315,רוכב מוט ארקה לכבל  MU-1818-20,10,יח',10,יח',GR25000024,קבלות סחורה מספק,Main,0,PO24000810,2030393,"חשמל ישיר חולון בע""מ"
1/2/2025,25000315,רוכב מוט ארקה לכבל  MU-1818-20,10,יח',10,יח',GR25000023,קבלות סחורה מספק,Main,0,PO24000796,2030393,"חשמל ישיר חולון בע""מ"
1/2/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,2,יח',2,יח',GR25000014,קבלות סחורה מספק,Main,0,PO24000709,2030056,"אדוויס אלקטרוניקה בע""מ"
1/2/2025,25001110,דופן למהדק WDU2.5-10,50,יח',50,יח',GR25000020,קבלות סחורה מספק,Main,0,PO24000776,2030191,"אוריאל שי בע""מ"
1/2/2025,25001165,מהדק WDU 2.5,50,יח',50,יח',GR25000020,קבלות סחורה מספק,Main,0,PO24000776,2030191,"אוריאל שי בע""מ"
1/2/2025,25001285,ממסר מגע אחד TRS 24VDC 800112277 כולל תושבת,25,יח',25,יח',GR25000020,קבלות סחורה מספק,Main,0,PO24000776,2030191,"אוריאל שי בע""מ"
1/2/2025,25001286,ממסר 24VDC 800112349 כולל תושבת,15,יח',15,יח',GR25000016,קבלות סחורה מספק,Main,0,PO24000776,2030191,"אוריאל שי בע""מ"
1/2/2025,25001286,ממסר 24VDC 800112349 כולל תושבת,24,יח',24,יח',GR25000017,קבלות סחורה מספק,Main,0,PO24000771,2030191,"אוריאל שי בע""מ"
1/2/2025,26000051,כבל רשת 15 מ' CAT-6,10,יח',10,יח',GR25000010,קבלות סחורה מספק,Main,0,PO24000797,2030139,"דגן מולטימדיה בע""מ"
1/2/2025,26000194,כרטיס רשת תקשורת פנימי SNMP ל TOP V,2,יח',2,יח',GR25000014,קבלות סחורה מספק,Main,0,PO24000709,2030056,"אדוויס אלקטרוניקה בע""מ"
1/2/2025,26000265,אל פסק AIN650,2,יח',2,יח',GR25000014,קבלות סחורה מספק,Main,0,PO24000823,2030056,"אדוויס אלקטרוניקה בע""מ"
1/2/2025,26000862,כבל רשת 50 ס''מ CAT-6,20,יח',20,יח',GR25000010,קבלות סחורה מספק,Main,0,PO24000797,2030139,"דגן מולטימדיה בע""מ"
1/2/2025,26000912,קיסטון לשקע CAT-6A,20,יח',20,יח',GR25000010,קבלות סחורה מספק,Main,0,PO24000797,2030139,"דגן מולטימדיה בע""מ"
1/2/2025,31000033,תרסיס גריז,48,יח',48,יח',GR25000015,קבלות סחורה מספק,Main,0,PO24000816,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/2/2025,31000398,פח גב לארון מנגנון דלת צד שמאל כולל זוויות,27,יח',27,יח',GR25000022,קבלות סחורה מספק,Main,0,PO24000729,2030692,"שי-בר מתכות בע""מ"
1/2/2025,31000399,פח גב לארון מנגנון דלת צד ימין כולל זוויות,11,יח',11,יח',GR25000022,קבלות סחורה מספק,Main,0,PO24000729,2030692,"שי-בר מתכות בע""מ"
1/2/2025,34000166,שק בטון מוכן התייבשות מהירה 25 ק''ג,288,יח',288,יח',GR25000012,קבלות סחורה מספק,Main,0,PO24000814,2030392,"בטון עטרות בע""מ"
1/5/2025,17000026,כבל טוויסטד 2X14  בילדין,500,יח',500,יח',GR25000030,קבלות סחורה מספק,Main,0,PO24000828,2030103,"ג.ברס שיווק (1983) בע""מ"
1/5/2025,17000028,כבל 5X1.5 XLPE,500,יח',500,יח',GR25000030,קבלות סחורה מספק,Main,0,PO24000828,2030103,"ג.ברס שיווק (1983) בע""מ"
1/5/2025,17000330,חוט גלאי 14 AWG XPLE 0.6/1 KV 125C,12200,יח',12200,יח',GR25000029,קבלות סחורה מספק,Main,0,PO24000782,2030103,"ג.ברס שיווק (1983) בע""מ"
1/5/2025,19001207,ארגז פלסטיק לאחסון ארגז PSS4313,20,יח',20,יח',GR25000036,קבלות סחורה מספק,Main,0,,2030503,"רז צ.צ טכני 2003 בע""מ"
1/5/2025,22002843,Horn loudspeaker 15W LHN-UC15W-SIP,4,יח',4,יח',GR25000090,קבלות סחורה מספק,Main,0,PO24000708,2030362,"לדיקו בע""מ"
1/5/2025,25002557,גישור למהדק TB-10-I FBI 10-10  - Screw bridge 0203276,10,יח',10,יח',GR25000035,קבלות סחורה מספק,Main,0,,2030267,"פניקס קונטקס ( ישראל) בע""מ"
1/5/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",40,יח',40,יח',GR25000032,קבלות סחורה מספק,Main,0,PO24000743,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/5/2025,33000175,אטם מכסה עליון MATU101-101,20,יח',20,יח',GR25000033,קבלות סחורה מספק,Main,0,PO24000780,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/5/2025,33000179,רמקול MATU101-105,20,יח',20,יח',GR25000033,קבלות סחורה מספק,Main,0,PO24000780,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/5/2025,33000182,מכלול פייזו כולל כרטיס אלקטרוני MATU101-108,10,יח',10,יח',GR25000033,קבלות סחורה מספק,Main,0,PO24000780,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/5/2025,33000194,לחצן עם מחבר כולל פלסטיק עם הדפסה MATU101-111,20,יח',20,יח',GR25000033,קבלות סחורה מספק,Main,0,PO24000780,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/5/2025,33000195,חץ כיוון עגול ליחידת רטט MATU101-112,50,יח',50,יח',GR25000033,קבלות סחורה מספק,Main,0,PO24000780,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/6/2025,17000079,כבל הארקה 25 ממ' צ/' קשיח (בתוף 500 מ'),500,יח',500,יח',GR25000038,קבלות סחורה מספק,Main,0,PO24000511,2030071,"ארכה בע""מ"
1/6/2025,17000100,חוט חשמל 6.0 ממ''ר חום גמיש,300,יח',300,יח',GR25000039,קבלות סחורה מספק,Main,0,PO24000575,2030071,"ארכה בע""מ"
1/6/2025,19000022,"סרט בידוד רוחב ""2 שחור",168,יח',168,יח',GR25000040,קבלות סחורה מספק,Main,0,PO25000009,2030503,"רז צ.צ טכני 2003 בע""מ"
1/6/2025,19000050,צינור גמיש שחור קוטר 12 ממ' PG-11,150,יח',150,יח',GR25000043,קבלות סחורה מספק,Main,0,PO24000809,2030420,"נ.חן חשמל בע""מ"
1/6/2025,19000234,כניסה שחורה+אום לצינור  PG-9 קוטר 12 מ''מ,50,יח',50,יח',GR25000043,קבלות סחורה מספק,Main,0,PO24000809,2030420,"נ.חן חשמל בע""מ"
1/6/2025,19000381,צינור שרשורי 22 ממ' לבן,120,יח',120,יח',GR25000043,קבלות סחורה מספק,Main,0,PO24000809,2030420,"נ.חן חשמל בע""מ"
1/6/2025,20000185,סט מברג מבודד,2,יח',2,יח',GR25000042,קבלות סחורה מספק,Main,0,PO24000829,2030325,"קמחי כלי עבודה (1994) בע""מ"
