הזמנה,תאריך,סטטוס הזמנה,מס. לקוח,שם לקוח,סוג מכירה,תאור סוג מכירה,מס' סוכן,שם סוכן,לטיפול,"מק""ט",ת. אספקה,מחיר מינימום,תאור מוצר,"מחירון בסיס ש""ח","מחיר בתעודה ש""ח",מחירון בסיס USD,מחיר בתעודה USD,מחירון בסיס,מחיר בתעודה,מטבע שורה,כמות,"סה""כ ב-ש""ח","סה""כ ב-USD","סה""כ במטבע הזמנה","סה""כ אחרי הנחה",מטבע הזמנה,יתרה לאספקה,תשלום מראש,סגורה?,פרויקט,תאור פרויקט,מספר פעילות (WBS),מספר פעילות,שם פעילות,סטטוס שורת הזמנה,כ.ארוזה/דווח פנימי,מהדורת מוצר,מהדורת עץ מוצר
SO25000002,1/1/2025,בוצעה,106034,"נת""ע-נתיבי תחבורה עירוניים להסעת המונים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,17000069,1/1/2025,0.00,כבל 3X10 XLPE,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",300,0.00,0.00,0.00,0.00,"ש""ח",-200,,Y,PR24000133,"נת""ע-קו ירוק סגול",,0,,,0,,
SO25000002,1/1/2025,בוצעה,106034,"נת""ע-נתיבי תחבורה עירוניים להסעת המונים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,16000011,1/1/2025,0.00,בסיס לארון מנגנון 2/470  (900X1115X470) לשתילה,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000133,"נת""ע-קו ירוק סגול",,0,,,0,,
SO25000002,1/1/2025,בוצעה,106034,"נת""ע-נתיבי תחבורה עירוניים להסעת המונים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,13000303,1/1/2025,0.00,ארון פוליאסטר 400X300X220 מ''מ,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",1,,Y,PR24000133,"נת""ע-קו ירוק סגול",,0,,,0,,
SO25000003,1/1/2025,בוצעה,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,אלכס גלפרין,30000250,1/1/2025,0.00,בורג אלן M12X65,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",2,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000003,1/1/2025,בוצעה,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,אלכס גלפרין,30000188,1/1/2025,0.00,עוגן חץ מגולבן 110*M12,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",4,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000004,1/2/2025,בוצעה,106434,"אריאל וימאזור בקרת תנועה וחניה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,27000238,1/2/2025,0.00,מכשיר DYMO,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000024,מעבדה,,0,,,0,,
SO25000005,1/2/2025,בבצוע,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,עירית בלילטי,24000541,1/2/2025,0.00,פין קפיצי 12.0X50 D-7343,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000005,1/2/2025,בבצוע,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,עירית בלילטי,30000143,1/2/2025,0.00,דיסקה נירוסטה M6 D9021B,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",8,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000005,1/2/2025,בבצוע,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,עירית בלילטי,30000034,1/2/2025,0.00,אום ניילוק M6 D-985,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000005,1/2/2025,בבצוע,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,עירית בלילטי,30000136,1/2/2025,0.00,בורג נירוסטה M6X65 D931,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
