תאריך,סוג תנועת מלאי,מס. תעודה/חשבונית,"מק""ט",תאור מוצר,כמות (קניה/מכירה),"עלות ש""ח ליח' ק/מ","עלות ש""ח",מקור עלות,מס' לקוח,שם לקוח,מס' ספק,שם ספק,מחסן,איתור,"פק""ע/מנה",מהדורת מוצר,מהדורת עץ מוצר,יח' קניה/מכירה,כמות מפעל,יח' מפעל,עלות USD ליח' ק/מ,עלות USD,מטבע תנועה,למחסן,לאיתור,"למק""ט",תאור מוצר,"לפק""ע/מנה",מהדורת עץ מוצר,מסטטוס,לסטטוס,מפעולה/משטח,לפעולה/משטח,"עבור פק""ע","עבור מק""ט",תאור מוצר,עבור פעולה/משטח,מס. אריזות,קוד סוג אריזה,תאור סוג אריזה,חתימה,ת. חתימה
4/1/2025,קבלות סחורה מספק,GR25000519,25001120,מפ''ז מחליף 1-0-2 2X40A על פס דין HAGGER,24,102.01,2448.31,חשבונית,,,2030420,"נ.חן חשמל בע""מ",,,0,,,יח',24,יח',27.69,664.58,"ש""ח",Main,0,25001120,מפ''ז מחליף 1-0-2 2X40A על פס דין HAGGER,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:26
4/1/2025,העברה בין מחסנים,WR25000628,31000033,תרסיס גריז,6,8.28,49.68,תנועה,,,,,Main,0,0,,,יח',6,יח',2.23,13.36,"ש""ח",P046,0,31000033,תרסיס גריז,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 7:33
4/1/2025,העברה בין מחסנים,WR25000629,26001091,ראוטר סלולרי RUT200 4G,5,211.31,1056.55,תנועה,,,,,Main,0,0,,,יח',5,יח',56.83,284.17,"ש""ח",P022,0,26001091,ראוטר סלולרי RUT200 4G,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 7:37
4/1/2025,העברה בין מחסנים,WR25000629,26001098,תושבת לפס דין לראוטר TELTONIKA 99560-002-00,5,35.00,175.00,"ממ""ן",,,,,Main,0,0,,,יח',5,יח',9.85,49.25,"ש""ח",P022,0,26001098,תושבת לפס דין לראוטר TELTONIKA 99560-002-00,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 7:37
4/1/2025,קבלות סחורה מספק,GR25000520,19000977,ג'ל חשמלאים,12,10.45,125.42,חשבונית,,,2030420,"נ.חן חשמל בע""מ",,,0,,,יח',12,יח',2.84,34.04,"ש""ח",Main,0,19000977,ג'ל חשמלאים,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:26
4/1/2025,העברה בין מחסנים,WR25000630,19000022,"סרט בידוד רוחב ""2 שחור",15,3.79,56.85,תנועה,,,,,Main,0,0,,,יח',15,יח',1.02,15.29,"ש""ח",P023,0,19000022,"סרט בידוד רוחב ""2 שחור",0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:25
4/1/2025,העברה בין מחסנים,WR25000630,25001038,סופית חוט נלחצת כחולה+בידוד 2.5-8 E (שקית 100 יח'),10,3.62,36.20,תנועה,,,,,Main,0,0,,,יח',10,יח',0.97,9.74,"ש""ח",P023,0,25001038,סופית חוט נלחצת כחולה+בידוד 2.5-8 E (שקית 100 יח'),0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:25
4/1/2025,העברה בין מחסנים,WR25000630,11000138,ספק כח HDR-30-24,2,29.35,58.70,"ממ""ן",,,,,Main,0,0,,,יח',2,יח',8.26,16.52,"ש""ח",P023,0,11000138,ספק כח HDR-30-24,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:25
4/1/2025,העברה בין מחסנים,WR25000631,12000034,"עדשה חלבית קוטר  41.5  ס""מ",12,58.00,696.00,תנועה,,,,,Main,0,0,,,יח',12,יח',15.60,187.20,"ש""ח",P023,0,12000034,"עדשה חלבית קוטר  41.5  ס""מ",0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:27
4/1/2025,העברה בין מחסנים,WR25000631,12000118,מגש לדים+ספק כח 220V,15,57.00,855.00,תנועה,,,,,Main,0,0,,,יח',15,יח',15.33,229.96,"ש""ח",P023,0,12000118,מגש לדים+ספק כח 220V,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:27
