תאריך,סוג תנועת מלאי,מס. תעודה/חשבונית,"מק""ט",תאור מוצר,כמות (קניה/מכירה),"עלות ש""ח ליח' ק/מ","עלות ש""ח",מקור עלות,מס' לקוח,שם לקוח,מס' ספק,שם ספק,מחסן,איתור,"פק""ע/מנה",מהדורת מוצר,מהדורת עץ מוצר,יח' קניה/מכירה,כמות מפעל,יח' מפעל,עלות USD ליח' ק/מ,עלות USD,מטבע תנועה,למחסן,לאיתור,"למק""ט",תאור מוצר,"לפק""ע/מנה",מהדורת עץ מוצר,מסטטוס,לסטטוס,מפעולה/משטח,לפעולה/משטח,"עבור פק""ע","עבור מק""ט",תאור מוצר,עבור פעולה/משטח,מס. אריזות,קוד סוג אריזה,תאור סוג אריזה,חתימה,ת. חתימה
1/2/2025,קבלות סחורה מספק,GR25000010,26000051,כבל רשת 15 מ' CAT-6,10,14.40,144.00,חשבונית,,,2030139,"דגן מולטימדיה בע""מ",,,0,,,יח',10,יח',3.87,38.69,"ש""ח",Main,0,26000051,כבל רשת 15 מ' CAT-6,0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 7:35
1/2/2025,קבלות סחורה מספק,GR25000010,26000862,כבל רשת 50 ס''מ CAT-6,20,2.50,50.00,חשבונית,,,2030139,"דגן מולטימדיה בע""מ",,,0,,,יח',20,יח',0.67,13.43,"ש""ח",Main,0,26000862,כבל רשת 50 ס''מ CAT-6,0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 7:35
1/2/2025,קבלות סחורה מספק,GR25000010,26000912,קיסטון לשקע CAT-6A,20,8.60,172.00,חשבונית,,,2030139,"דגן מולטימדיה בע""מ",,,0,,,יח',20,יח',2.31,46.21,"ש""ח",Main,0,26000912,קיסטון לשקע CAT-6A,0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 7:35
1/2/2025,קבלות סחורה מספק,GR25000011,19001084,דבק סודסיל MS CLEAR עבור הדבקת תקתקנים,20,32.00,640.00,קבלה למלאי,,,2030325,"קמחי כלי עבודה (1994) בע""מ",,,0,,,יח',20,יח',8.60,171.95,"ש""ח",Main,0,19001084,דבק סודסיל MS CLEAR עבור הדבקת תקתקנים,0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 7:51
1/2/2025,קבלות סחורה מספק,GR25000012,34000166,שק בטון מוכן התייבשות מהירה 25 ק''ג,288,25.50,7344.00,קבלה למלאי,,,2030392,"בטון עטרות בע""מ",,,0,,,יח',288,יח',6.85,1973.13,"ש""ח",Main,0,34000166,שק בטון מוכן התייבשות מהירה 25 ק''ג,0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 8:02
1/2/2025,קבלות סחורה מספק,GR25000013,17000164,כבל פנדל 3X1.5,250,2.57,642.50,קבלה למלאי,,,2030071,"ארכה בע""מ",,,0,,,יח',250,יח',0.69,172.62,"ש""ח",Main,0,17000164,כבל פנדל 3X1.5,0,,Goods,Goods,,,,,,,0,,,pazita,5/27/25 11:54
1/2/2025,העברה בין מחסנים,WR25000002,22000818,"BL-SMALL-SN מק""ט(323117)(זרוע מתקפלת)",1,1519.96,1519.96,"ממ""ן",,,,,Main,0,0,,,יח',1,יח',427.92,427.92,"ש""ח",P120,0,22000818,"BL-SMALL-SN מק""ט(323117)(זרוע מתקפלת)",0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 8:41
1/2/2025,העברה בין מחסנים,WR25000002,22000274,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",1,52.10,52.10,"ממ""ן",,,,,Main,0,0,,,יח',1,יח',14.67,14.67,"ש""ח",P120,0,22000274,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",0,,Goods,Goods,,,,,,,0,,,alexg,1/2/25 8:41
1/2/2025,קבלות סחורה מספק,GR25000014,25000953,אל פסק( UPS TOP 2000 (AON2000-2,2,1800.00,3600.00,קבלה למלאי,,,2030056,"אדוויס אלקטרוניקה בע""מ",,,0,,,יח',2,יח',483.61,967.22,"ש""ח",Main,0,25000953,אל פסק( UPS TOP 2000 (AON2000-2,0,,Goods,Goods,,,,,,,0,,,davids,1/2/25 9:44
1/2/2025,קבלות סחורה מספק,GR25000014,26000194,כרטיס רשת תקשורת פנימי SNMP ל TOP V,2,550.00,1100.00,קבלה למלאי,,,2030056,"אדוויס אלקטרוניקה בע""מ",,,0,,,יח',2,יח',147.77,295.54,"ש""ח",Main,0,26000194,כרטיס רשת תקשורת פנימי SNMP ל TOP V,0,,Goods,Goods,,,,,,,0,,,davids,1/2/25 9:44
