קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
22001333,בולרד 4K OAK 800.4 LIGHT-Stainess Steel 316 P970094 10302,₪  ,19498.5,28,₪  ,545958
11000118,ASSY XLS12–L  (230V) 3522 704 73580 (LCM),₪  ,1972.19,242,₪  ,477269.98
11000119,FN BASIC ASSY / E (230V)  9586 134 01150 (בקר),Eur,1609.82,73,₪  ,450195.25
32000026,גלאי העדפה IVRG1M-700251,Eur,783.65,100,₪  ,300208.48
11000093,EC2 LCM 230V/P1 3522 704 24400/2,₪  ,1563.76,191,₪  ,298678.16
12000113,פנס תנועה LED (1133301) 230V 3X300,₪  ,907.02,268,₪  ,243081.36
26000846,"מתג תעשייתי ISW 8GBP,4-SFP",$  ,1174.19,51,₪  ,220252.2
14000151,"עמוד ציר מחוזק 5.25X""6 דופן 4.76 מ''מ",₪  ,1377.4,154,₪  ,212119.6
11000131,מסך TFT 7'' MMI 4000 110 00110,Eur,509.02,106,₪  ,206700.59
11000121,XD16 KIT 8 CH PROTECTED  9587 134 90020,₪  ,1448.18,141,₪  ,204193.38
19000113,הובלה,$  ,289,154,₪  ,163693.06
14000029,עמוד גבוה 5.80 מ'-סטנדרט',₪  ,895,178,₪  ,159310
28000033,מצבר 12MVR65 65 AH,₪  ,577,248,₪  ,143096
12000114,פנס הולך רגל (1122309) LED 230V 2X200,₪  ,487.81,291,₪  ,141952.71
14000034,עמוד תנועה 4.4 מ' - סטנדר,₪  ,640,195,₪  ,124800
13000022,"ארון  2/470   (1226X1136X470)תא ח""ח צד ימין",₪  ,2884.99,42,₪  ,121169.58
11000122,XIO16 KIT 16 IN 16 OUT  9586 134 90060,Eur,350.63,88,₪  ,118203.77
16000011,בסיס לארון מנגנון 2/470  (900X1115X470) לשתילה,₪  ,880,124,₪  ,109120
12000150,פנל מואר למעבר חציה 8X120 ס''מ אדום/ירוק,₪  ,550,184,₪  ,101200
12000063,פנס רכבת קלה (1132215) 200X3 230V,₪  ,857.22,107,₪  ,91722.54
11000120,FN XLS-L EXT KIT (230V) 9586 134 08180,₪  ,314.52,291,₪  ,91525.32
14000012,שוט  ג'בו 2.5X4,₪  ,766.3,111,₪  ,85059.3
22002345,"מחסום NIGHT&DAY.3 מק""ט 320000 1.7 ש' RAL 9006",₪  ,4761.92,17,₪  ,80952.64
12000110,פנס תנועה (2133301) 42V 3X300 LED,₪  ,985.37,82,₪  ,80800.34
13000016,"ארון 2/470 (1226X1136X470)תא ח""ח צד שמאל",₪  ,2885.01,28,₪  ,80780.28
14000054,"שוט ג'בו  "" 3.0X4",₪  ,776,101,₪  ,78376
22002837,שלט VMS16LB-64X64-RGB 1324X1324X210 mm,$  ,2097,10,₪  ,77127.66
26000767,מערכת אל פסק TOP V PRO 6K UPS כולל 16 מצברים 65 AH,₪  ,12850,6,₪  ,77100
12000117,שלט כיוון תאורת LED 220V +עדשה קומפלט,₪  ,223.1,325,₪  ,72507.5
12000111,פנס הולך רגל (2122309) LED 42V 2X200,₪  ,581.22,121,₪  ,70327.62
11000110,ED316 kit for 8 channels with extra transient protectio 9586 132 90020,Eur,468.36,39,₪  ,69975.48
11000112,3522 704 24410 ES2 LCM 42V RRAG,Eur,499.76,36,₪  ,68923.15
22002476,מצלמת PTZ BOSCH  MIC-7522-Z30W,₪  ,13250.14,5,₪  ,66250.7
17000010,14X1.5+1X2.5+1X4 כבל,₪  ,19.47,"3,400",₪  ,66198
22001281,NIGHY&DAY_35 Xtreeme NPB - senza molla 322000/1 מחסום אפור מהיר (RAL 9006),Eur,1408.33,12,₪  ,64742.09
17000009,22X1.5+1X2.5+1X4 כבל,₪  ,27.97,"2,250",₪  ,62932.5
14000230,"עמוד לחצן הולך רגל  ""3.5X4 עם דלת",₪  ,440,143,₪  ,62920
22002397,"מכונת תשלום סגנון גט""י AW GP4M stand-alone automatic pay station",Eur,7950,2,₪  ,60911.34
22001175,new DAKOTA 219-700  LIGHT-INOX WITH CDF 350100-OX,₪  ,10017.67,6,₪  ,60106.02
11000096,EC2 MMI 8x40 3522 704 72150,Eur,385.69,40,₪  ,59101.52
14000013,"שוט ג'בו ""4  3.5X",₪  ,850,66,₪  ,56100
11000095,Extension back panel 3522 704 24440,Eur,45.78,319,₪  ,55945.52
14000017,"שוט ג'בו ""5.5X4",₪  ,1052.01,52,₪  ,54704.52
14000001,בסיס יציקה+הארקה לעמוד ציר,₪  ,260,203,₪  ,52780
22002567,I271409 60001 KIT MOTORIDUTTORE + BASAMENTO DKN7,₪  ,2369.7,22,₪  ,52133.4
14000016,"שוט ג'בו ""5.0X4",₪  ,940.91,55,₪  ,51750.05
11000107,EC2 CPU CF 3522 704 24710,Eur,1206.26,11,₪  ,50831.69
32000038,גלאי העדפה (ת''א) IVRNOM-7A00AD,Eur,789,16,₪  ,48361.28
22002729,KIT STEM 275 H800 K4 - INOZ 316L-SV I300278 50001,₪  ,8009.5,6,₪  ,48057
14000209,עמוד תקתקן עם דלת 1.80 מ' 4'',₪  ,339.5,137,₪  ,46511.5
14000259,עמוד תקתקן עם דלת 1.50 מ' 4'',₪  ,255,178,₪  ,45390
22000181,מדפסת  VKP80II רשת,₪  ,2257,20,₪  ,45140
11000081,I/O MODULE FMKLS 34 3522 759 67010,₪  ,343.37,131,₪  ,44981.47
