מס' ספק,שם ספק,הזמנה,תאריך,מק'ט,תאור מוצר,ת. אספקה,כמות,יח',מחיר סופי,מטבע,מחיר סופי בשקלים
2030002,"אנסיטק בע""מ",PO25000180,1/29/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,1/29/2025,1,יח',880.00,"ש""ח",880.00
2030002,"אנסיטק בע""מ",PO25000237,2/6/2025,25001115,גשש קרבה BES M18MG-GOC70B-8V02-N/C,2/6/2025,2,יח',194.40,"ש""ח",194.40
2030002,"אנסיטק בע""מ",PO25000237,2/6/2025,25001116,גשש קרבה BES M18MG-GSC70B-BV02-N/O,2/6/2025,3,יח',291.60,"ש""ח",291.60
2030002,"אנסיטק בע""מ",PO25000257,2/10/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,2/10/2025,3,יח',2640.00,"ש""ח",2640.00
2030002,"אנסיטק בע""מ",PO25000356,2/18/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,2/18/2025,2,יח',1760.00,"ש""ח",1760.00
2030002,"אנסיטק בע""מ",PO25000356,2/18/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,2/18/2025,1,יח',880.00,"ש""ח",880.00
2030002,"אנסיטק בע""מ",PO25000735,4/2/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,4/2/2025,1,יח',880.00,"ש""ח",880.00
2030002,"אנסיטק בע""מ",PO25000739,4/2/2025,25001213,ממיר תדר מחד פאזי לתלת פאזי VFD7A5MS21ANSAA,4/2/2025,1,יח',880.00,"ש""ח",880.00
2030002,"אנסיטק בע""מ",PO25001238,5/28/2025,25001115,גשש קרבה BES M18MG-GOC70B-8V02-N/C,,1,יח',97.20,"ש""ח",97.20
2030047,"די אנד אי פיתוח ויישום בע""מ",PO25000264,2/10/2025,16000036,אספקת אביזרי אוורור ואינס' כולל התקנה לפי ה. מחיר 25-000500,2/10/2025,1,יח',25500.00,"ש""ח",25500.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000077,1/15/2025,25001103,מצבר 100AH 12MVR100,1/15/2025,2,יח',1640.00,"ש""ח",1640.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000091,1/18/2025,26000382,AS400 CARD 12PIN,1/18/2025,15,יח',6600.00,"ש""ח",6600.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000097,1/20/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,1/20/2025,3,יח',5400.00,"ש""ח",5400.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000097,1/20/2025,26000382,AS400 CARD 12PIN,1/20/2025,5,יח',2200.00,"ש""ח",2200.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000107,1/21/2025,26000382,AS400 CARD 12PIN,1/21/2025,15,יח',6600.00,"ש""ח",6600.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000112,1/22/2025,22002889,ארון מהבהבים סולארי 500X400X200 CO-SOL-15W-30H,1/22/2025,4,יח',26896.00,"ש""ח",26896.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000112,1/22/2025,22002886,ארון VPS חשמל קבוע 650X500X250 CO-DCB-A-60W-8H-AC,1/22/2025,2,יח',17320.00,"ש""ח",17320.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000112,1/22/2025,22002887,ארון מהבהבים חשמל קבוע 650X500X250 CO-DCB-15W-8H,1/22/2025,4,יח',16764.00,"ש""ח",16764.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000112,1/22/2025,220028894,TRUI KAKY הפד 650X500X250 CO-SOL-A-60W-30H-AC,1/22/2025,2,יח',14318.00,"ש""ח",14318.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת בקרת מאוורר ומאורר ב TOP 2 K-LONG A5,1/30/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת בקרת מאווררים+מאווררים TOP 3 KLONG,1/30/2025,1,יח',325.00,"ש""ח",325.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת בקרת מאוורר+מאורר TOP3 K-LONG,1/30/2025,2,יח',450.00,"ש""ח",450.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת בקרת מאווררים+מאווררים ותיקון כרטיס TOPVPRO2K,1/30/2025,1,יח',890.00,"ש""ח",890.00
